short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance
9,21,20,50,14,38,1046.5323732319673
9,21,20,50,14,50,1046.996096523652
9,21,20,50,14,62,1064.356344217705
9,21,20,50,20,38,1006.0519481332894
9,21,20,50,20,50,1126.1567706289638
9,21,20,50,20,62,1064.356344217705
9,21,20,50,28,38,1003.6092986497512
9,21,20,50,28,50,1072.9212872134797
9,21,20,50,28,62,1064.356344217705
9,26,10,20,14,38,964.8197809415112
9,26,10,20,14,50,1064.973682797908
9,26,10,20,14,62,1054.6350075775222
9,26,10,20,20,38,981.0957251886113
9,26,10,20,20,50,1030.5669764856493
9,26,10,20,20,62,1068.1829176004148
9,26,10,20,28,38,1044.3052206473153
9,26,10,20,28,50,1075.0818832438372
9,26,10,20,28,62,1050.6837805191233
9,26,10,25,14,38,976.1377976902654
9,26,10,25,14,50,1036.5855248659684
9,26,10,25,14,62,1023.0682218616739
9,26,10,25,20,38,1004.8773479562847
9,26,10,25,20,50,1002.301495740202
9,26,10,25,20,62,1039.0856327871343
9,26,10,25,28,38,1036.2520488531043
9,26,10,25,28,50,1074.79276505189
9,26,10,25,28,62,1023.6684677664014
9,26,10,30,14,38,972.6702359717609
9,26,10,30,14,50,1073.3806225973663
9,26,10,30,14,62,1060.3559305382353
9,26,10,30,20,38,1007.3680215355176
9,26,10,30,20,50,1035.0916464013476
9,26,10,30,20,62,1084.4264930986333
9,26,10,30,28,38,1030.9903516569966
9,26,10,30,28,50,1091.7276835551704
9,26,10,30,28,62,1079.762710441588
9,26,10,50,14,38,1026.2112025798529
9,26,10,50,14,50,1019.7386992486148
9,26,10,50,14,62,1051.2720696725057
9,26,10,50,20,38,1101.4594935428865
9,26,10,50,20,50,1063.7084519146301
9,26,10,50,20,62,1070.1029459697618
9,26,10,50,28,38,1084.5835478034414
9,26,10,50,28,50,1063.6328345957463
9,26,10,50,28,62,1071.1608620028435
9,26,14,20,14,38,976.1198377847293
9,26,14,20,14,50,1088.5416093714314
9,26,14,20,14,62,1018.2547397223506
9,26,14,20,20,38,986.8701127689792
9,26,14,20,20,50,1029.2639557311452
9,26,14,20,20,62,1030.1670780969182
9,26,14,20,28,38,1025.639417719259
9,26,14,20,28,50,1062.6300898071725
9,26,14,20,28,62,1028.062196845308
9,26,14,25,14,38,989.1713619963783
9,26,14,25,14,50,1100.9706952763552
9,26,14,25,14,62,1024.4336075651765
9,26,14,25,20,38,1038.6469532623314
9,26,14,25,20,50,1049.9244817138022
9,26,14,25,20,62,1039.6062342883874
9,26,14,25,28,38,1036.4056874007451
9,26,14,25,28,50,1068.2277453516085
9,26,14,25,28,62,1033.7392069846323
9,26,14,30,14,38,974.15610567704
9,26,14,30,14,50,1061.7102810934068
9,26,14,30,14,62,1048.6388670984172
9,26,14,30,20,38,1042.7031669002245
9,26,14,30,20,50,987.8048733475802
9,26,14,30,20,62,1052.2195251201244
9,26,14,30,28,38,1055.943554438055
9,26,14,30,28,50,1050.9232389468946
9,26,14,30,28,62,1054.4378408071736
9,26,14,50,14,38,1031.9027643300126
9,26,14,50,14,50,1043.6144557612786
9,26,14,50,14,62,1040.4848842130677
9,26,14,50,20,38,1052.4604490865759
9,26,14,50,20,50,1062.9254061089298
9,26,14,50,20,62,1047.6232042544593
9,26,14,50,28,38,1029.6827691470312
9,26,14,50,28,50,1045.597144165995
9,26,14,50,28,62,1053.1186330417156
9,26,20,20,14,38,971.9693529657063
9,26,20,20,14,50,1065.5279429440639
9,26,20,20,14,62,990.7508366404919
9,26,20,20,20,38,1000.1344862320642
9,26,20,20,20,50,1008.1928523056426
9,26,20,20,20,62,990.3118323770773
9,26,20,20,28,38,972.9078588014013
9,26,20,20,28,50,1066.5958574522404
9,26,20,20,28,62,968.5205455618233
9,26,20,25,14,38,1026.5353265195852
9,26,20,25,14,50,1106.818398457952
9,26,20,25,14,62,1043.461924122543
9,26,20,25,20,38,1038.1046521502617
9,26,20,25,20,50,1019.4348599188941
9,26,20,25,20,62,1052.2532423117386
9,26,20,25,28,38,985.5717625562074
9,26,20,25,28,50,1073.107036222445
9,26,20,25,28,62,1031.2090101735025
9,26,20,30,14,38,995.756327495512
9,26,20,30,14,50,1082.8879299957603
9,26,20,30,14,62,1056.8787482237303
9,26,20,30,20,38,1130.1425899781761
9,26,20,30,20,50,1032.2858238771869
9,26,20,30,20,62,1067.7867106086555
9,26,20,30,28,38,1010.5720634499095
9,26,20,30,28,50,1069.6974323997642
9,26,20,30,28,62,1064.9827839823083
9,26,20,50,14,38,1005.5602552125158
9,26,20,50,14,50,996.9999053998098
9,26,20,50,14,62,1004.3745818090633
9,26,20,50,20,38,1038.5662994372037
9,26,20,50,20,50,999.9839649531818
9,26,20,50,20,62,1004.3745818090633
9,26,20,50,28,38,1009.8903069595924
9,26,20,50,28,50,1041.3282072243605
9,26,20,50,28,62,1004.3745818090633
9,30,10,20,14,38,962.1522734230655
9,30,10,20,14,50,1070.2077707735923
9,30,10,20,14,62,1067.5352805203643
9,30,10,20,20,38,1023.6539167471415
9,30,10,20,20,50,1018.4952553257651
9,30,10,20,20,62,1076.6611618105608
9,30,10,20,28,38,1039.1546468743732
9,30,10,20,28,50,1073.3925043212018
9,30,10,20,28,62,1071.1697318410124
9,30,10,25,14,38,968.1631042813033
9,30,10,25,14,50,1027.992802398655
9,30,10,25,14,62,1013.1974189587987
9,30,10,25,20,38,1043.672603364098
9,30,10,25,20,50,1020.1299151386343
9,30,10,25,20,62,1024.2868517864351
9,30,10,25,28,38,1035.8643580343296
9,30,10,25,28,50,1059.4290013370548
9,30,10,25,28,62,1014.7856154731129
9,30,10,30,14,38,971.4785262737021
9,30,10,30,14,50,1060.739400511923
9,30,10,30,14,62,1094.4124702718439
9,30,10,30,20,38,1028.425011675755
9,30,10,30,20,50,1059.207559777049
9,30,10,30,20,62,1100.103460639106
9,30,10,30,28,38,1024.3458874409841
9,30,10,30,28,50,1110.0737666723458
9,30,10,30,28,62,1092.657902240534
9,30,10,50,14,38,1059.285832751895
9,30,10,50,14,50,1078.54593951844
9,30,10,50,14,62,1097.374851224068
9,30,10,50,20,38,1080.708080997709
9,30,10,50,20,50,1101.3454845717824
9,30,10,50,20,62,1109.9748789923055
9,30,10,50,28,38,1107.8639762615387
9,30,10,50,28,50,1100.7210789618139
9,30,10,50,28,62,1109.5315323603445
9,30,14,20,14,38,979.0853683144373
9,30,14,20,14,50,1058.0141185055697
9,30,14,20,14,62,1028.5387780819271
9,30,14,20,20,38,1063.5941966000669
9,30,14,20,20,50,1000.9913641130637
9,30,14,20,20,62,1043.2030281748637
9,30,14,20,28,38,1028.2955438960553
9,30,14,20,28,50,1058.5042542667202
9,30,14,20,28,62,1032.6946999318836
9,30,14,25,14,38,969.7600949220528
9,30,14,25,14,50,1078.305897537442
9,30,14,25,14,62,1033.131504060381
9,30,14,25,20,38,1100.1107361946197
9,30,14,25,20,50,1036.966743551653
9,30,14,25,20,62,1047.417414819112
9,30,14,25,28,38,1027.5195415682044
9,30,14,25,28,50,1049.9296332588137
9,30,14,25,28,62,1035.2138163777392
9,30,14,30,14,38,971.8349286792377
9,30,14,30,14,50,1043.056040979788
9,30,14,30,14,62,1033.0057064434025
9,30,14,30,20,38,1081.1776052504147
9,30,14,30,20,50,1029.8009333735772
9,30,14,30,20,62,1050.398416199709
9,30,14,30,28,38,1032.0412298866477
9,30,14,30,28,50,1023.5889021424405
9,30,14,30,28,62,1039.8885023556877
9,30,14,50,14,38,975.2804629526091
9,30,14,50,14,50,1034.599778657968
9,30,14,50,14,62,1051.672475757307
9,30,14,50,20,38,1044.1424150671505
